fid,%canopy,NO2_mean,LST_mean,Imp%,BD,May_LSTmean,Oct_LSTmean
35,0.027762975,2.23E-05,40.53318334,100.0161164,96.91360396,302.035114,291.5968598
36,44.38859049,2.39E-05,26.50307226,1.138168987,1.138168987,292.1934175,285.198719
37,46.26907719,2.03E-05,31.18462372,58.7958035,22.7563078,294.6336323,287.0379207
38,20.723167,2.65E-05,31.26272154,73.09323339,44.59714373,294.3701912,286.7517594
39,9.223301464,1.95E-05,32.81168699,56.87355568,24.01250795,296.4468145,287.6705249
40,37.10884031,2.92E-05,31.05073941,3.921169773,3.921169773,293.0285795,285.8360659
41,9.959112202,2.92E-05,29.93968296,21.87534611,9.008311943,294.3725152,286.1616231
42,22.84052716,2.75E-05,33.69212961,37.45679887,16.3166452,297.2215585,288.099789
43,79.51676832,2.75E-05,28.56040466,4.608460693,3.574333218,291.6935336,285.0600899
44,0,2.71E-05,35.82163548,3.456393039,3.456393039,297.0875359,287.9967952
45,5.136011736,2.75E-05,40.82380986,64.852559,50.45090447,303.2052834,290.7480151
46,0,2.21E-05,38.43401599,99.97679199,97.84593423,299.2931804,289.5631526
47,0,3.96E-05,40.92844152,99.99444644,99.99444644,304.7607122,292.3892426
48,0,3.05E-05,39.27575874,100.0158699,96.10130007,300.5605854,290.5289969
49,0.0277642,2.91E-05,39.71572804,99.9788826,96.09883571,302.5792967,291.3031081
50,0,3.78E-05,40.3373282,99.11925188,94.96845968,304.6556801,291.818874
51,0,3.38E-05,38.34978032,99.34286328,99.23874485,301.8823896,290.7881111
52,0.034705387,3.09E-05,37.64298439,100.0209265,89.5398995,299.7157345,289.4816523
53,0,3.10E-05,39.3256402,99.986357,99.986357,301.5346177,290.8751035
54,0,3.26E-05,40.44809771,100.0086023,84.32846397,302.7449768,291.90157
55,0.846745423,2.75E-05,39.46807408,98.91652275,80.82948526,301.0115887,290.7841185
56,0,3.17E-05,41.31623077,100.0075991,98.73052236,303.7640545,292.0154739
57,0,3.17E-05,40.97848916,99.99377704,95.27414294,303.4011116,292.1171997
58,9.800608226,3.02E-05,35.56199789,50.53004808,28.40232922,297.9908743,287.7850208
59,23.21767366,2.91E-05,35.30712867,74.21326359,36.46805901,297.5262514,288.3037226
60,0,3.96E-05,37.6662569,99.99457919,29.19458559,298.9769367,289.4678192
61,12.64653424,3.15E-05,35.52622223,71.9367074,25.45965291,297.241501,288.1291978
62,7.68298713,2.75E-05,36.91742063,80.12654599,25.81816813,299.4846165,289.7472867
63,32.72595156,2.10E-05,35.36364698,65.8961154,25.60467345,297.016038,287.9135707
64,14.39426772,2.50E-05,35.23214936,69.86841521,27.6364388,297.3044669,288.3933079
65,23.35613004,2.97E-05,34.94338131,69.15913216,29.13095922,296.4880265,287.536655
66,13.96514573,2.10E-05,36.197155,75.37152955,41.4928634,297.9988278,288.5009313
67,0.402580895,3.96E-05,34.60723877,94.01652109,27.83361016,295.9202259,287.0426516
68,15.40844136,2.10E-05,36.45909357,74.95998497,29.30380153,297.0470007,288.7351202
69,28.66590066,2.91E-05,33.6434679,49.90504256,24.63324006,295.8669887,286.81277
70,1.41596019,3.78E-05,36.05547142,38.51550538,22.08620258,297.9025369,288.8730127
71,4.886295522,2.10E-05,33.30550265,56.82400773,22.41865701,294.1030548,286.130852
72,1.908503069,2.25E-05,30.47848547,22.24273577,22.24273577,294.0680532,287.2097736
73,6.593821811,2.21E-05,36.62213469,54.60378546,22.59945665,299.3804974,288.7376759
74,11.11896279,2.24E-05,34.56202483,47.38399436,24.52140795,296.1545225,288.0355774
75,37.75096097,2.10E-05,33.12112594,33.62119047,19.68408261,295.5186256,287.0472628
76,14.11806734,2.91E-05,34.99981952,68.09156372,20.10124042,296.7256619,288.0769302
77,7.274157962,3.02E-05,35.18818784,54.45901085,24.55028312,297.5613171,287.7950348
78,25.92398375,3.11E-05,34.38745403,43.55368086,21.51655947,296.665509,288.0965997
79,22.39794576,2.10E-05,34.6338253,47.18352503,22.1966627,297.1120876,288.6075171
80,20.04575194,2.91E-05,34.15154719,99.98582298,22.31547524,296.4746001,287.5044076
81,66.45358716,2.70E-05,29.96750498,47.60367147,7.669056273,293.8627775,285.9763562
82,15.73482198,2.10E-05,33.83370614,45.06669567,8.634370771,295.8425718,287.4145771
