fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Density,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,Lat,Long,Imp2,Man_GS
233,0.01,2.10E-05,0.00E+00,39.41,0.62,-0.21,2.41,99.61,86.71,4620330,2546,Lachine,37915,93.14,2570.13,20,10,20493.11,40.00142822,0.688564278,-402323.373,174435.9278,12.9,1134.61
234,1.07,2.24E-05,1.36E-06,42.3,1.66,-0.19,0,99.97,89.27,4620326.01,1111.1,LaSalle,39102,1142.64,2724.64,20,20,19923.53,677.6069656,0,-400647.6779,174288.1157,10.7,3211.6
235,0,2.21E-05,0.00E+00,37.87,0.89,-0.2,0,100,86.05,4620610.07,7815.7,Montréal-Nord,23885,616.63,742.48,25,15,4887.69,255.6060351,0.276021732,-398896.954,194118.6232,13.95,554.3
236,1.85,3.02E-05,6.78E-21,37.76,0.6,-0.19,0.04,99.42,87.95,4620225,2150.5,Villeray-Saint-Michel-Parc-Extension,38907,477.77,3788.11,5,5,11366.03,26.54471705,28.01765925,-401078.3148,184438.1337,11.47,38.35
237,0,2.75E-05,0.00E+00,38.22,0.82,-0.28,0,100,81.31,4620453.02,744,Pointe-Claire,66088,186.61,2646.19,20,20,26394.12,314.863714,0,-415517.4952,178009.1913,18.69,445.76
238,2.38,3.17E-05,6.78E-21,38.32,0.71,-0.19,2.28,100,79.44,4620267,5626.7,Ahuntsic-Cartierville,38918,832.8,2116.1,10,10,11829.98,294.7230574,0.001145315,-402581.2778,185172.7562,20.56,365.26
239,0.4,2.37E-05,0.00E+00,40.1,0.35,-0.21,0,100.02,84.55,4620326.01,1111.1,LaSalle,39102,1021.05,2679.34,15,15,19473.35,488.7710633,0,-400256.9749,174614.7705,15.47,862.36
240,0,2.91E-05,0.00E+00,34.89,0.62,-0.22,1.9,90.23,84.38,4620056/4620061,5381.4,Ville-Marie,46569.38,88.31,1153.91,10,10,11945.89,343.5015802,1.512514158,-395946.0189,181096.1861,5.85,550.18
241,0.15,2.75E-05,0.00E+00,39.31,0.81,-0.23,0,96.48,84.74,4620433,233,Dorval,52476,188.48,2498.47,15,15,22880.68,532.4961298,0,-412465.2872,179785.7501,11.74,2235.29
242,0.03,3.02E-05,0.00E+00,37.67,1.48,-0.19,0,99.05,81.83,4620604.04,4562.6,Saint-Léonard,47867,796.11,2012.66,30,30,6419.43,734.3160823,0.025196997,-399713.1782,190337.5849,17.22,2863.16
243,0.73,2.10E-05,0.00E+00,38.88,0.81,-0.2,0,82.73,82.73,4620395.01,357.4,Lachine,23621,495.08,1124.13,20,20,21949.14,245.778491,1.353302295,-405217.1024,174450.5589,0,297.33
244,1.36,3.96E-05,0.00E+00,36.86,0.62,-0.12,0,100,80.02,4620570,314.5,Montréal-Est,38802,296.11,3811.99,10,10,277.7,744.6468556,0,-393818.9448,194272.7556,19.98,3549.59
245,0.42,2.25E-05,3.39E-21,31.85,0.87,-0.17,0,94,80.25,4620500,122.4,Senneville,70925,217.88,488.32,20,20,38800.03,859.3248011,0,-427692.167,174031.6284,13.75,1471.71
246,0,2.11E-05,6.78E-21,37.16,1.17,-0.18,0,99.98,79.54,4620093,4409.7,Le Sud-Ouest,36328,594.27,3052.11,15,15,18153.07,7.363545544,28.47814479,-399553.1074,175756.4187,20.44,76.51
247,2.14,2.91E-05,0.00E+00,35.51,0.52,-0.23,7.5,97.8,86.14,4620062,3006,Ville-Marie,39946,297.49,1421.18,15,10,12606.46,257.5363231,1.057591376,-396357.7366,180530.5627,11.66,488.58
248,0,3.17E-05,0.00E+00,39.21,0.74,-0.18,0,99.6,82.47,4620415.06,427.7,Saint-Laurent,76204,393.47,3561.4,15,15,18547.91,734.8954367,0,-407452.6512,180546.5585,17.13,1069.48
249,2.14,2.23E-05,6.78E-21,38.73,1.21,-0.18,3.65,97.7,82.32,4620402,691.6,Mont-Royal,59971,672.23,6268.74,15,10,16585.34,867.0936889,0,-403654.5177,179849.9969,15.38,1186.68
