fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Density,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,Lat,Long,Imp2,Man_GS
51,0,3.38E-05,0.00E+00,38.35,1.25,-0.16,0,99.34,99.24,4620580.02,4025.1,Rivière-des-Prairies-Pointes-aux-Trembles,48315,310.33,640.43,NA,20,4832.09,238.7726286,1.146475583,-389171.5825,200486.057,0.1,1571.13
52,0.03,3.09E-05,3.17E-07,37.64,0.69,-0.19,0,100.02,89.54,4620014.02,0,Mercier-Hochelaga-Maisonneuve,NA,349.09,2077.24,5,5,5478.41,359.6104426,0,-394190.8663,187322.1394,10.48,646.35
53,0,3.10E-05,0.00E+00,39.33,0.95,-0.15,0,99.99,99.99,4620014.02,0,Mercier-Hochelaga-Maisonneuve,NA,386.79,1809.02,5,5,5547.1,246.3313405,0.46706373,-393962.0762,187181.5787,0,347.07
54,0,3.26E-05,1.36E-20,40.45,0.59,-0.23,0,100.01,84.33,4620009,813.8,Mercier-Hochelaga-Maisonneuve,38773,112.98,356.83,15,10,4218.58,489.7838614,0,-391322.7706,188393.7769,15.68,603.61
55,0.85,2.75E-05,1.36E-20,39.47,0.48,-0.24,0.08,98.92,80.83,4620415.05,427.7,Saint-Laurent,84543,136.51,1897.67,20,20,20211.08,991.2187136,0,-409846.2745,180758.0729,18.09,1163.46
56,0,3.17E-05,0.00E+00,41.32,0.39,-0.17,0,100.01,98.73,4620415.06,427.7,Saint-Laurent,76204,185.22,3769.84,10,10,18052.11,272.8744038,0.420787049,-406952.8083,180743.1748,1.28,585.33
57,0,3.17E-05,0.00E+00,40.98,0.52,-0.19,0,99.99,95.27,4620415.06,427.7,Saint-Laurent,76204,115.63,4327.19,25,10,18529.35,943.8544886,0,-406896.4817,180015.8859,4.72,2826.48
58,9.8,3.02E-05,0.00E+00,35.56,0.18,-0.05,17.91,50.53,28.4,4620605.03,5735.5,Saint-Léonard,33633,1242.75,3728.06,15,15,4103.66,69.280481,11.20719313,-397474.9614,191103.3419,22.13,307.19
59,23.22,2.91E-05,0.00E+00,35.31,0.24,-0.04,24.55,74.21,36.47,4620147,16353.4,Le Plateau-Mont-Royal,42186,791.49,2415.8,5,5,9620.05,120.0985614,8.731483313,-396323.0924,183657.5335,37.74,226.11
60,0,3.96E-05,0.00E+00,37.67,0.25,-0.22,8.36,99.99,29.19,4620585.02/4620584,698.1,Rivière-des-Prairies-Pointes-aux-Trembles,37638.25,1167.81,2033.23,10,10,0,392.5703555,0,-390919.542,195702.9596,70.8,534.25
61,12.65,3.15E-05,6.78E-21,35.53,0.22,-0.1,29.87,71.94,25.46,4620311,11203.5,Verdun,32291,781.83,567.92,15,15,18024.86,518.2900129,0.137667833,-396842.4036,175035.9699,46.48,631.45
62,7.68,2.75E-05,0.00E+00,36.92,0.6,-0.14,10.26,80.13,25.82,4620453.02/4620453.01,744,Pointe-Claire,65941.42,46.86,2317.46,15,15,26370.31,41.5882269,5.114459638,-415299.2685,177749.1178,54.31,92.61
63,32.73,2.10E-05,0.00E+00,35.36,0.41,0.02,9.36,65.9,25.6,4620340,3689.6,Montréal-Ouest,79279,232.05,2969.41,15,15,20049.27,454.85704,0.279915437,-402281.1879,174913.6923,40.3,887.75
64,14.39,2.50E-05,2.52E-08,35.23,0.47,-0.07,0,69.87,27.64,4620513.01,4816.7,Pierrefonds-Roxborro,50651,90.92,505.82,20,20,24250.84,29.48131587,3.146142472,-415724.5635,182481.873,42.23,94.35
65,23.36,2.97E-05,2.41E-07,34.94,0.14,-0.06,27.03,69.16,29.13,4620365,12414.3,Outremont,50895,469.68,4876.34,10,5,11793.29,149.2556178,3.640741105,-399300.6617,182716.2227,40.03,274.7
66,13.97,2.10E-05,0.00E+00,36.2,0.54,-0.13,14.71,75.37,41.49,4620352,6415.9,Westmount,57358,608.87,3430.53,15,15,15866.81,244.8373243,1.078662756,-398993.7637,177994.226,33.88,375.46
67,0.4,3.96E-05,0.00E+00,34.61,0.17,-0.09,0,94.02,27.83,4620593.01,4880.1,Anjou,39660,363.24,3790.93,5,5,2420.99,64.28918085,2.947377149,-394603.2131,190850.0866,66.19,428.73
68,15.41,2.10E-05,0.00E+00,36.46,0.36,-0.08,0.3,74.96,29.3,4620383.01,5327.6,Côte-Saint-Luc,65187,2135.63,4207.31,15,15,18965.72,485.3412276,1.98E-07,-404235.1612,177373.2566,45.66,688.5
69,28.67,2.91E-05,0.00E+00,33.64,0.27,0.02,20.14,49.91,24.63,4620366,7282.5,Outremont,67227,737.03,4916.13,10,5,12061.53,253.0422602,1.13753121,-399441.4258,182487.8639,25.28,398.78
70,1.42,3.78E-05,0.00E+00,36.06,0.2,-0.05,12.04,38.52,22.09,4620290.07,7075.9,Rivière-des-Prairies-Pointes-aux-Trembles,47472,939.26,1222.94,10,5,2975.58,15.8799959,2.885753926,-395965.7299,195907.0314,16.43,89.79
71,4.89,2.10E-05,0.00E+00,33.31,0.14,-0.08,3.44,56.82,22.42,4620382.01/4620383.02,6666.1,Côte-Saint-Luc,58729.23,2109.89,4949.51,15,15,18157.45,94.65699027,6.801107707,-403583.9734,177917.6708,34.4,361.52
72,1.91,2.25E-05,3.39E-21,30.48,0.44,0.1,0,22.24,22.24,4620500,122.4,Senneville,70925,697.32,689.58,20,20,38527.07,1320.112,0,-427649.7717,174509.3831,0,2709.9
73,6.59,2.21E-05,6.78E-21,36.62,0.85,-0.06,24.47,54.6,22.6,4620611.02/4620611.01,9814,Montréal-Nord,39551.36,353.78,1678.07,15,15,5644.16,84.60465091,5.602668569,-399466.92,191760.7249,32,335.33
74,11.12,2.24E-05,0.00E+00,34.56,0.4,-0.06,12.51,52.74,24.52,4620396,4454.6,Lachine,50059,78.47,402.54,20,20,23095.61,265.318696,1.424081072,-406357.669,173829.025,28.22,346.46
75,37.75,2.10E-05,0.00E+00,33.12,0.13,0.09,9.13,33.62,19.68,4620340,3689.6,Montréal-Ouest,79279,964.44,2886.22,15,15,20009.41,191.2909181,3.076088614,-402967.6936,175335.3831,13.94,377.27
76,14.12,2.91E-05,0.00E+00,35,0.53,-0.06,7.38,68.09,20.1,4620060/4620059,13632.4,Ville-Marie,19783.22,332.06,1263.84,10,5,11334.39,21.20174865,4.139200254,-395773.6586,181682.9134,47.99,241.52
77,7.27,3.02E-05,0.00E+00,35.19,0.17,-0.06,14.97,54.46,24.55,4620600.03,9494.9,Saint-Léonard,37139,586.74,4939.04,10,10,4422,165.9201519,2.795960834,-396285.2555,189553.5671,29.91,443.91
78,25.92,3.11E-05,0.00E+00,34.39,0.23,0.03,14.38,43.55,21.52,4620404/4620400,3521.1,Mont-Royal,84414.72,174.73,4219.35,10,10,12345.58,183.1986327,3.651499039,-401292.9306,183373.5519,22.03,301.66
79,22.4,2.10E-05,0.00E+00,34.63,0.09,0.02,20.37,47.18,22.2,4620370,3884.2,Hampstead,88371,791.57,6171.91,15,15,16857.23,9.400823292,13.43776084,-402542.0974,178788.7581,24.98,201.2
