fid,%canopy,NO2_mean,LST_mean,NDVImean,Road%,Imp%,BD,Income,road distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,weightNO2
80,20.05,2.91E-05,34.15,0.01,18.62,99.99,22.32,45600.18,303.93,5,5,7386.66,123.289345,7.830809521,0.22
109,23.99,3.96E-05,33.61,-0.01,18.62,63.22,12.59,45874,855.5,15,5,977.03,0,2.512843446,0.04
221,3.68,2.46E-05,38.82,-0.1,4.73,92.9,74.69,45953.4,84,20,15,3215.15,269.3691889,0.151411371,0.08
240,0,2.91E-05,34.89,-0.22,1.9,90.23,84.38,46569.38,88.31,10,10,11945.89,343.5015802,1.512514158,0.35
70,1.42,3.78E-05,36.06,-0.05,12.04,38.52,22.09,47472,939.26,10,5,2975.58,15.8799959,2.885753926,0.11
88,8.77,3.02E-05,35.72,-0.01,0,50.55,2.58,47581,785.4,5,5,2997.68,0,17.62650049,0.09
124,1.09,3.91E-05,37.31,-0.15,0,100.01,50.3,47581,311.04,20,15,1865.14,661.5130689,0,0.07
154,2.87,3.91E-05,38.43,-0.09,9.21,100,43.01,47581,860.24,15,15,1665.73,1042.256088,0,0.07
194,2.9,3.95E-05,36.63,-0.15,0,98.6,65.54,47581,928.88,20,20,1176.21,547.9754408,0,0.05
210,0.01,3.95E-05,38.41,-0.18,4.73,99.07,62.74,47581,1000.43,20,20,1160.33,786.7554923,0,0.05
28,1.02,3.78E-05,37.34,-0.16,0.94,99.03,69.79,47728.35,78.44,5,5,1961.59,15.98664315,34.18215856,0.07
242,0.03,3.02E-05,37.67,-0.19,0,99.05,81.83,47867,796.11,30,30,6419.43,734.3160823,0.025196997,0.19
150,27.8,2.91E-05,35.31,-0.01,18.2,70.35,40.2,48055,446.32,5,5,10261.93,113.6371832,8.063070547,0.30
132,9.63,2.91E-05,34.14,-0.12,0.47,95.62,54.82,48088,406.23,15,10,14418.09,246.8266086,1.925514487,0.42
206,3.39,2.91E-05,38.46,-0.2,14.03,95.84,61.95,48209,198.2,30,5,13411.58,212.2180668,2.148627989,0.39
51,0,3.38E-05,38.35,-0.16,0,99.34,99.24,48315,310.33,NA,20,4832.09,238.7726286,1.146475583,0.16
6,9.61,2.10E-05,34.66,0.08,8.91,66.18,5.65,48717.31,2026.21,15,15,18092.41,176.2542124,5.523855363,0.38
100,36.53,3.17E-05,32.77,0.16,8.86,69.47,15.35,48877,433.51,5,5,17606.64,0,10.31236254,0.56
106,75.63,2.91E-05,30.57,0.27,0,33.31,10.96,49617,342.47,5,5,12041.19,0,62.16715922,0.35
