fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%
95,12.86,2.65E-05,0.00E+00,33.86,0.15,0.06,14.14,29.69,15.09,4620515.03,Pierrefonds-Roxborro,67222,861.1,1375.01,20,20,31191.5,66.55428805,9.038451072
96,37.75,2.10E-05,0.00E+00,33.12,0.13,0.09,9.13,33.62,19.68,4620340,Montréal-Ouest,79279,964.44,2886.22,15,15,20009.41,191.2909181,3.076088614
97,29.84,2.92E-05,6.78E-21,32.2,1.03,0.07,14.03,37.75,15.21,4620540,L'Île-Bizard-Sainte-Geneviève,34702,1195.33,127.18,20,20,29434.87,121.6933069,2.347171358
98,40.21,2.65E-05,0.00E+00,31.54,0.34,0.11,16.03,35.16,18.32,4620462.02,Beaconsfield,111247,219.71,1248.99,20,20,33218.14,235.4307766,1.445822149
99,30.83,3.03E-05,6.78E-21,33.19,0.22,0.03,23.58,64.14,24.44,4620072,Le-Sud-Ouest,28169,448.08,641.63,5,5,15261.85,45.6417146,20.77000505
100,36.53,3.17E-05,0.00E+00,32.77,0.87,0.16,8.86,69.47,15.35,4620416.02,Saint-Laurent,48877,433.51,1422.75,5,5,17606.64,0,10.31236254
101,9.38,2.74E-05,3.39E-21,34.36,0.09,0.01,19.95,39.2,17.29,4620521.05/4620521.01,Dollard-des-Ormeaux,88479.37,582.54,1707.51,20,20,26808.04,73.74132569,9.727260165
102,0.26,3.02E-05,0.00E+00,35.63,0.39,-0.2,0,98.59,11.67,4620601.02,Saint-Léonard,39837,723.09,4879.23,5,5,5921.41,404.3497826,0
103,13.29,2.65E-05,0.00E+00,31.83,0.41,0.14,10.31,21.53,10.88,4620470.03,Kirkland,105679,481.03,2252.92,20,5,33495.04,0,6.765028566
104,44.3,2.91E-05,0.00E+00,31.05,0.21,0.12,10.48,28.27,14.43,4620360,Outremont,139132,838.72,3953.61,5,5,12252.48,134.7934708,6.29376327
105,29.87,2.75E-05,0.00E+00,32.13,0.25,0.13,14.45,28.5,11.36,4620433,Dorval,52476,580.89,1034.15,5,5,25238.17,0,19.52012013
106,75.63,2.91E-05,0.00E+00,30.57,1.43,0.27,0,33.31,10.96,4620128,Ville-Marie,49617,342.47,2611.07,5,5,12041.19,0,62.16715922
107,47.14,3.17E-05,0.00E+00,32.98,0.27,0.1,13.41,32.88,14.34,4620285,Ahuntsic-Cartierville,43144,313.44,251.95,5,5,15486.05,0,13.13945733
108,19.98,3.02E-05,0.00E+00,35.2,0.22,-0.02,28.02,56.67,16.5,4620254,Villeray-Saint-Michel-Parc-Extension,34000,42.58,5006.61,5,5,6572.03,284.9700917,0.058640426
