fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Density,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,Lat,Long,Imp2,Man_GS,GS_500,Households,Backyards,BY_Ratio,GS_1000,GS_800,GS_300,Testing,%yard,yard_area
62,7.68,2.75E-05,0.00E+00,36.92,0.6,-0.14,10.26,80.13,25.82,4620453.02/4620453.01,744,Pointe-Claire,65941.42,46.86,2317.46,15,15,26370.31,41.5882269,5.114459638,-415299.2685,177749.1178,54.31,92.61,3.668667852,1,1,1,1.69999999,1.838,5.114459638,Training,0.122219877,1761
64,14.39,2.50E-05,2.52E-08,35.23,0.47,-0.07,0,69.87,27.64,4620513.01,4816.7,Pierrefonds-Roxborro,50651,90.92,505.82,20,20,24250.84,29.48131587,3.146142472,-415724.5635,182481.873,42.23,94.35,2.122470853,144,1,0.006944444,4.454650092,4.818,3.146142472,Training,0.301141406,4339
92,19.98,2.10E-05,0.00E+00,33.45,0.46,0.03,18.98,42.03,17.42,4620100.02,9769.4,Côte-des-Neiges-Nôtre-Dame-de-Grâce,44661,1254.67,4119.36,15,15,18777.9,51.44830415,13.76303838,-402274.3167,176357.5703,24.61,98.49,8.358240253,49,24,0.489795918,5.401650124,5.642,13.76303838,Training,0.470864723,6784
32,42.74,2.65E-05,0.00E+00,29.56,0.18,0.17,7.81,22.18,14.37,4620460,1492.1,Beaconsfield,94151,688.44,379.57,10,5,30562.51,87.68154135,3.531188999,-417683.0747,173987.5503,7.81,127.39,2.30550572,18,18,1,1.408600003,1.334,3.531188999,Training,0.598948217,8630
131,6.46,3.02E-05,3.39E-21,37.81,0.83,-0.17,11.04,85.53,49.29,4620303,8687.9,Verdun,29341,366.16,1307.73,15,15,16789.8,28.56335067,1.524653383,-397085.5752,176381.4929,36.24,129.28,1.565351787,34,0,0,1.600050004,2.022,1.524653383,Training,0.818830248,11797
144,6.46,3.02E-05,3.39E-21,37.81,0.83,-0.17,11.04,85.53,49.29,4620303,8687.9,Verdun,29341,366.16,1307.73,15,15,16789.8,28.56335067,1.524653383,-397085.5752,176381.4929,36.24,131.38,1.565351787,34,0,0,1.600050004,2.022,1.524653383,Training,0.818830248,11797
95,12.86,2.65E-05,0.00E+00,33.86,0.15,0.06,14.14,29.69,15.09,4620515.03,3442.6,Pierrefonds-Roxborro,67222,861.1,1375.01,20,20,31191.5,66.55428805,9.038451072,-420769.9653,177270.3263,14.6,137.66,12.57782748,30,30,1,11.65550019,11.306,9.038451072,Training,0.620592799,8942
143,15.49,2.17E-05,0.00E+00,34.9,0.55,-0.07,5.25,69.09,45.09,4620127.01/4620126,11425.6,Côte-des-Neiges-Nôtre-Dame-de-Grâce,33662.95,333.11,5172.14,10,5,14320.61,22.61809076,4.340986214,-400120.4883,180260.4446,24,139.81,2.453067337,4,1,0.25,0.947549996,0.958,4.340986214,Training,0.300678845,4332
119,4.39,2.82E-05,0.00E+00,39.84,0.71,-0.18,0.07,87.96,59.66,4620325.06,5458.7,LaSalle,42456,663.78,1259.05,15,15,20409.89,125.7692896,18.29465363,-399524.5333,173346.4923,28.3,146.53,24.78528703,0,0,NA,29.55639997,29.264,18.29465363,Training,0.99623065,14353
208,4.39,2.82E-05,0.00E+00,39.84,0.71,-0.18,0.07,87.96,59.66,4620325.06,5458.7,LaSalle,42456,663.78,1259.05,15,15,20409.89,125.7692896,18.29465363,-399524.5333,173346.4923,28.3,150.25,24.78528703,0,0,NA,29.55639997,29.264,18.29465363,Training,0.99623065,14353
227,0.33,2.92E-05,6.78E-21,39.85,0.42,-0.19,0,96.27,69.2,4620415.05,427.7,Saint-Laurent,84543,346.32,861.31,10,10,19323.37,206.7236883,4.551452053,-409730.0527,182072.0765,27.07,154.49,9.059701608,0,0,NA,18.86320015,17.013,4.551452053,Training,0.954393151,13751
198,0.33,2.92E-05,6.78E-21,39.85,0.42,-0.19,0,96.27,69.2,4620415.05,427.7,Saint-Laurent,84543,346.32,861.31,10,10,19323.37,206.7236883,4.551452053,-409730.0527,182072.0765,27.07,173.35,9.059701608,0,0,NA,18.86320015,17.013,4.551452053,Test,0.954393151,13751
166,13.82,2.10E-05,2.92E-08,35.08,0.51,-0.06,12.24,56.41,29.72,4620392,3472.5,Lachine,32239,985.67,171.85,20,20,22850.57,84.71663057,9.389046231,-405421.214,173505.6082,26.69,181.25,10.31348457,128,16,0.125,13.91175014,15.689,9.389046231,Test,0.386736341,5572
125,3.1,2.74E-05,6.78E-21,37.63,0.49,-0.15,0,69.64,51.36,4620521.06,2407.1,Dollard-des-Ormeaux,68640,506.96,2392.9,20,20,24826.5,106.2188965,20.93954651,-415295.398,180517.6433,18.28,190.16,22.97311991,0,0,NA,18.98320018,20.569,20.93954651,Training,0.303432546,4372
17,11.84,3.02E-05,0.00E+00,35.45,0.17,-0.01,21.32,41.73,14.55,4620261/4620260,4309.8,Villeray-Saint-Michel-Parc-Extension,39607.88,246.94,2168.66,10,5,7747.37,39.03179376,3.956612843,-400328.9708,188826.6902,27.18,191.77,2.235862599,80,17,0.2125,2.485150032,2.041,3.956612843,Training,0.469756253,6768
33,4.55,2.21E-05,0.00E+00,34.48,0.26,-0.02,42.05,67.04,3.55,4620616/4620618,8757.1,Montréal-Nord,34176.29,5.34,249.46,5,5,7428.73,83.60472259,8.627439843,-401194.8666,191311.2078,63.49,196.81,7.527746064,38,4,0.105263158,7.003550013,6.761,8.627439843,Training,0.191635595,2761
79,22.4,2.10E-05,0.00E+00,34.63,0.09,0.02,20.37,47.18,22.2,4620370,3884.2,Hampstead,88371,791.57,6171.91,15,15,16857.23,9.400823292,13.43776084,-402542.0974,178788.7581,24.98,201.2,8.772338591,22,22,1,6.277600032,5.458,13.43776084,Training,0.460244123,6631
84,40.69,2.91E-05,3.39E-21,32.34,0.85,0.03,1.34,32.92,16.23,4620352,6415.9,Westmount,57358,503.81,3261.45,5,5,15567.59,57.90519292,7.863769156,-398733.3137,178212.0154,16.69,209.08,5.1915624,18,18,1,5.098850061,5.548,7.863769156,Test,0.665982822,9595
29,5.84,3.02E-05,0.00E+00,34.74,0.2,-0.13,3.88,83.8,59.62,4620201,7588.5,Rosemont-La-Petite-Patrie,27428,310.64,4140.62,10,5,7233.29,52.376764,15.86865938,-396907.7986,186598.5015,24.18,215.33,16.19782484,163,0,0,11.23450009,11.773,15.86865938,Test,0.157907217,2275
99,30.83,3.03E-05,6.78E-21,33.19,0.22,0.03,23.58,64.14,24.44,4620072,1386.8,Le-Sud-Ouest,28169,448.08,641.63,5,5,15261.85,45.6417146,20.77000505,-395533.4619,177568.8265,39.7,218.54,14.08816608,79,16,0.202531646,6.996700041,7.162,20.77000505,Test,0.28624928,4124
230,0.1,2.65E-05,6.78E-21,34.47,0.3,-0.19,0.07,93.62,70.58,4620491,257.9,Saint-Anne-de-Bellevue,86211,610.73,2388.1,20,20,35679.54,153.9026608,1.881258731,-424386.1371,174581.1873,23.04,218.88,1.094568321,0,0,NA,0.467100003,0.428,1.881258731,Training,0.049968739,720
100,36.53,3.17E-05,0.00E+00,32.77,0.87,0.16,8.86,69.47,15.35,4620416.02,2949.9,Saint-Laurent,48877,433.51,1422.75,5,5,17606.64,0,10.31236254,-408209.4076,182900.8091,54.12,219.66,5.827514879,48,0,0,8.975500004,6.844,10.31236254,Training,0.251110358,3618
59,23.22,2.91E-05,0.00E+00,35.31,0.24,-0.04,24.55,74.21,36.47,4620147,16353.4,Le Plateau-Mont-Royal,42186,791.49,2415.8,5,5,9620.05,120.0985614,8.731483313,-396323.0924,183657.5335,37.74,226.11,11.23846828,127,3,0.023622047,13.60095007,15.901,8.731483313,Training,0.59998078,8644
167,23.22,2.91E-05,0.00E+00,35.31,0.24,-0.04,24.55,74.21,36.47,4620147,16353.4,Le Plateau-Mont-Royal,42186,791.49,2415.8,5,5,9620.05,120.0985614,8.731483313,-396323.0924,183657.5335,37.74,226.95,11.23846828,112,28,0.25,13.60095007,15.901,8.731483313,Training,0.59998078,8644
42,22.84,2.75E-05,1.02E-20,33.69,0.46,0.08,17.95,37.46,16.32,4620453.02,744,Pointe-Claire,66088,608.75,3069.88,5,5,28029.09,46.63326025,4.945175846,-417453.6699,177939.7662,21.14,228.4,3.836037393,35,35,1,2.315899979,2.342,4.945175846,Training,0.515941899,7434
204,0.02,3.17E-05,0.00E+00,38.66,0.37,-0.18,11.07,100.01,61.45,4620269,5358.1,Ahuntsic-Cartierville,36187,502.63,1650.45,5,5,12320.52,103.4768788,6.695965854,-403190.1826,185106.1176,38.56,229.04,5.885885964,0,0,NA,3.426299993,3.422,6.695965854,Training,0,0
83,72.12,3.78E-05,0.00E+00,29.64,0.93,0.25,5.02,11.81,6.6,4620585.02,4025.1,Rivière-des-Prairies-Pointes-aux-Trembles,37647,318.9,1776.7,NA,5,2309.01,71.11513857,1.952097803,-390677.2223,198451.1671,5.21,235.2,1.544638939,8,8,1,1.152600022,1.258,1.952097803,Training,0.656427006,9457
150,27.8,2.91E-05,0.00E+00,35.31,0.28,-0.01,18.2,70.35,40.2,4620141,13513.7,Le Plateau-Mont-Royal,48055,446.32,2537.02,5,5,10261.93,113.6371832,8.063070547,-396615.1329,183081.3382,30.15,238.06,11.52466594,91,7,0.076923077,16.34819985,15.569,8.063070547,Training,0.263410932,3795
76,14.12,2.91E-05,0.00E+00,35,0.53,-0.06,7.38,68.09,20.1,4620060/4620059,13632.4,Ville-Marie,19783.22,332.06,1263.84,10,5,11334.39,21.20174865,4.139200254,-395773.6586,181682.9134,47.99,241.52,3.805100564,318,15,0.047169811,3.107750037,3.213,4.139200254,Training,0.318871196,4594
171,16.44,3.17E-05,0.00E+00,34.87,0.18,-0.03,16.12,62.05,31.44,4620269/4620280,5358.1,Ahuntsic-Cartierville,37474.5,508.75,1214.51,5,5,12736.12,134.2589905,6.372525578,-403788.5347,185158.9482,30.61,252.95,5.931457448,226,12,0.053097345,4.74150008,4.974,6.372525578,Training,0.32073117,4621
65,23.36,2.97E-05,2.41E-07,34.94,0.14,-0.06,27.03,69.16,29.13,4620365,12414.3,Outremont,50895,469.68,4876.34,10,5,11793.29,149.2556178,3.640741105,-399300.6617,182716.2227,40.03,274.7,3.548415491,78,2,0.025641026,4.178699999,4.843,3.640741105,Training,0.525495574,7571
176,23.36,2.97E-05,2.41E-07,34.94,0.14,-0.06,27.03,69.16,29.13,4620365,12414.3,Outremont,50895,469.68,4876.34,10,5,11793.29,149.2556178,3.640741105,-399300.6617,182716.2227,40.03,274.88,3.548415491,73,12,0.164383562,4.178699999,4.843,3.640741105,Training,0.525495574,7571
94,9.29,3.17E-05,6.78E-21,34.38,0.32,-0.07,35.71,72.91,15.46,4620279,5602.8,Ahuntsic-Cartierville,40892,41.85,438.06,10,10,11359.74,41.96483037,25.66121948,-403499.9767,187059.8177,57.45,277.29,21.93227035,55,0,0,9.616400047,9.738,25.66121948,Training,0.085440449,1231
28,1.02,3.78E-05,0.00E+00,37.34,0.75,-0.16,0.94,99.03,69.79,4620594.02/4620290.02,938.3,Rivière-des-Prairies-Pointes-aux-Trembles,47728.35,78.44,2317.83,5,5,1961.59,15.98664315,34.18215856,-395451.8528,194898.3939,29.24,277.8,38.75318267,0,0,NA,20.76075025,20.995,34.18215856,Training,0.009647996,139
189,0,2.75E-05,1.69E-20,41.6,0.73,-0.23,0,99.68,98.52,4620327,4342.3,LaSalle,35030,268.53,743.69,15,15,22549.84,225.9534202,1.175781676,-402632.8938,172296.596,1.16,289.63,3.351403548,0,0,NA,3.210799979,3.799,1.175781676,Training,0.003400998,49
214,0,3.10E-05,0.00E+00,40.14,0.88,-0.2,0,100.01,75.12,4620014.02,0,Mercier-Hochelaga-Maisonneuve,NA,120.36,1540.9,10,10,5624.3,97.12055137,3.53516344,-393733.2851,187041.0194,24.89,290.47,1.997688155,0,0,NA,1.762650009,1.378,3.53516344,Training,0,0
39,9.22,1.95E-05,0.00E+00,32.81,0.33,-0.04,17.09,56.87,24.01,4620490,3530.8,Saint-Anne-de-Bellevue,40215,169.9,164.07,20,20,39359.16,176.9071576,4.165651187,-427143.5201,172056.9643,32.86,293.25,2.539149975,49,11,0.224489796,1.1723,1.134,4.165651187,Training,0.413140057,5953
5,11.98,2.10E-05,0.00E+00,34.63,0.27,0,11.64,49.29,30.66,4620383.02,5327.6,Côte-Saint-Luc,44361,1827.18,5312.89,15,15,17899.22,100.3034834,2.023312512,-403900.8236,178427.157,18.63,294.89,4.037968162,36,33,0.916666667,2.952750019,2.899,2.023312512,Training,0.50729926,7309
243,0.73,2.10E-05,0.00E+00,38.88,0.81,-0.2,0,82.73,82.73,4620395.01,357.4,Lachine,23621,495.08,1124.13,20,20,21949.14,245.778491,1.353302295,-405217.1024,174450.5589,0,297.33,5.87281986,0,0,NA,8.644050033,9.397,1.353302295,Training,0.172754368,2489
117,4.79,3.95E-05,1.52E-07,36.07,0.72,-0.14,11.71,89.87,55.85,4620009,813.8,Mercier-Hochelaga-Maisonneuve,38773,260.07,1251.41,15,5,3676.26,146.6626379,2.276224811,-392128.7918,188825.9825,34.02,300.86,1.720553705,0,0,NA,0.830050014,0.871,2.276224811,Training,0.082530304,1189
78,25.92,3.11E-05,0.00E+00,34.39,0.23,0.03,14.38,43.55,21.52,4620404/4620400,3521.1,Mont-Royal,84414.72,174.73,4219.35,10,10,12345.58,183.1986327,3.651499039,-401292.9306,183373.5519,22.03,301.66,5.643181027,21,21,1,3.63045002,3.368,3.651499039,Training,0.41478374,5976
